absolute perfection,perfection
absolutely necessary,necessary
accidentally stumble,stumble
acute crisis,crisis
adequate enough,enough
advance planning,planning
a distance of two metres,two metres
all-time record,record
a number of examples,examples
a period of two years,two years
appear on the scene,appear
ask the question,ask
assemble together,assemble
at a later date,later
attach together,attach
best ever,best
blazing inferno,inferno
broad daylight,daylight
comment to the effect that,comment that
completely untrue,untrue
connect together,connect
continue in existence,continue
continue on,continue
co-operate together,co-operate
definite decision,decision
during the course of,during
each and every,each
entirely new,new
estimated at about,at about
ever since,since
exactly identical,identical
exactly the same as,the same as
face up to,face
few in number,few
filter out,filter
follow after,follow
for a period of,for
future prospect,prospect
gather together,gather
general public,public
honest truth,truth
hot water heater,water heater
in a week's time,in a week
joined together,joined
just recently,recently
last of all,last
link together,link
may possibly,may
meet together,meet
merge together,merge
necessary requirement,requirement
never at any time,never
new beginning,beginning
new innovation,innovation
new record,record
original source,source
other alternative,alternative
past history,history
postpone until later,postpone
promoted to the rank of,promoted to
quite empty,empty
quite unique,unique
raise up,raise
repeat again,repeat
returned back,returned
share out,share
sink down,sink
small in size,small
still continue,continue
strangled to death,strangled
temporarily suspended,suspended
total extinction,extinction
totally destroy,destroy
totally unnecessary,unnecessary
true facts,facts
unite together,unite
usual custom,custom
violent explosion,explosion
whether or not,whether
widow of the late,widow
win out,win
worst ever,worst
